Timestamp,What was your undergraduate major?,What type of phone do you have?,How many years ago did you receive your undergraduate degree?,How many hours do you sleep in a typical night?,Rate your proficiency with git/github,Rate your proficiency with Python,Have you ever used SQL?,What is your favorite sport to watch on tv?,What is your ideal outdoor temperature (in Fahrenheit)?,How many US states have you visited?,What is your favorite season?
8/26/2026 11:06:08,Data Science/Econ,iPhone,< 1 year,6-10,2,4,No,Baseball/Football,70,34,Summer
8/26/2026 11:07:20,Computer science,iPhone,4-6 years,7-8,5,4,Yes,Football or MMA,57,26,Spring
8/26/2026 11:07:36,Information Technology: Data Science and Analytics,iPhone,1-3 years,6 hours,3,3,Yes,soccer,79,10,Summer
8/26/2026 11:10:35,Statistics and Linguistics,iPhone,4-6 years,8-9.5,3,3,Yes,Baseball,65,23,Spring
8/26/2026 11:14:14,Sports Management,iPhone,4-6 years,7,1,2,No,Football,73,Probably around 35.,Spring
8/26/2026 11:14:44,Math and Operations Research,iPhone,< 1 year,6,3,4,No,American Football,68,32,Summer
8/26/2026 11:14:44,Computer Science and Data Analytics,iPhone,< 1 year,7,3,3,Yes,Football,68,15,Fall
8/26/2026 11:14:49,Economics,iPhone,1-3 years,7,2,2,Yes,Basketball,75,22,Summer
8/26/2026 11:14:51,Mechanical Engineering,iPhone,1-3 years,8,3,2,No,College Football,65,17,Fall
8/26/2026 11:14:53,Accounting,Android,1-3 years,9,1,1,No,Basketball,73,12,Winter
8/26/2026 11:14:53,Computational & Data Sciences,iPhone,4-6 years,6-7,2,3,Yes,Basketball,75,20,Fall
8/26/2026 11:14:57,Computer Science,iPhone,< 1 year,8-10,3,4,No,Football or Soccer. GO COWBOYS!!,68,30,Fall
8/26/2026 11:15:04,Mechanical Engineering,iPhone,1-3 years,7,2,2,Yes,Cricket,77,1,Spring
8/26/2026 11:15:09,Business Administration,iPhone,4-6 years,8.5,3,3,Yes,Soccer,72,5,Spring
8/26/2026 11:15:16,Intelligence Analysis,iPhone,< 1 year,7ish,2,2,Yes,Tennis,High sixties,All of the east coast,Fall
8/26/2026 11:15:19,Mathematics and statistics,iPhone,< 1 year,8,2,2,Yes,Hockey,68,18,Spring
8/26/2026 11:15:22,Computer Science,iPhone,1-3 years,7,5,4,Yes,Football,40,5,Winter
8/26/2026 11:15:24,Mechanical Engineering,iPhone,1-3 years,8,3,4,Yes,Football,67,21,Fall
8/26/2026 11:15:35,Psychology,iPhone,1-3 years,7,3,3,No,College Softball,60,17,Winter
8/26/2026 11:15:40,Information Science & Economics,iPhone,< 1 year,8,4,3,Yes,Lacrosse,68,23,Fall
8/26/2026 11:15:46,Economics,iPhone,< 1 year,7,1,3,Yes,Hockey,68,20,Fall
8/26/2026 11:15:53,"Economics, Government ",iPhone,< 1 year,7,1,2,No,Rugby,77,25,Summer
8/26/2026 11:15:57,International economics and finance,iPhone,1-3 years,8-9,2,2,No,Football or golf,75 slightly sunny,22,Fall
8/26/2026 11:15:59,Economics,iPhone,1-3 years,6,1,3,No,Football,65,13,Fall
8/26/2026 11:16:06,Homayoun Fatehi,iPhone,4-6 years,0 to 8 hours,3,3,Yes,Soccer,65,4,Fall
8/26/2026 11:16:10,FinTech and Big Data Analytics,iPhone,< 1 year,about 7 sometimes 8,3,3,Yes,Football (specifically playoffs),70 degrees,10,Spring
8/26/2026 11:16:40,Data Science,iPhone,< 1 year,7 to 8,2,5,Yes,Baseball,75,10,Spring
8/26/2026 11:16:48,Economics,iPhone,7-10 years,8.25,3,2,No,mountain bike racing,75 F,48,Spring
8/26/2026 11:16:57,Information Systems and Operations Management,iPhone,4-6 years,7,1,2,Yes,Cricket,85,11,Spring
8/26/2026 11:17:17,Economics,iPhone,7-10 years,8,1,2,No,Football,68,24,Fall
8/26/2026 11:18:16,business marketing and management,iPhone,4-6 years,7,2,2,Yes,baseball/softball,72,5,Fall
8/26/2026 11:19:28,Computer science,,< 1 year,6-7 hours,3,3,Yes,"Track (if I could, I don’t pay for subscriptions)",73,8,Fall
8/26/2026 11:19:33,Statistics,iPhone,< 1 year,7,1,3,No,College Football,65,23,Spring
8/26/2026 11:42:37,Industrial and Systems Engineering,Android,7-10 years,8 to 9,4,4,Yes,Usually American Football,Mid 70's,10+,Fall
8/26/2026 11:42:57,Bioinformatics and Biology,iPhone,< 1 year,5-7,2,3,No,Football,40 degrees,16,Winter
8/26/2026 11:44:34,Computer Science,iPhone,< 1 year,4 - 6,3,3,Yes,Soccer,75,1,Summer
8/26/2026 11:48:23,IT-Concentration in Data Science,iPhone,1-3 years,6.5,3,3,Yes,Soccer and Fustal,68,5,Spring
8/26/2026 11:52:24,Data Science,iPhone,< 1 year,7,4,4,No,Football,63,"If I had to guess, 23",Fall
8/26/2026 12:16:47,English (Education),Android,10+ years,7,1,2,Yes,Does the Superbowl count? That's all I watch.,75,"No clue. Many. When I was a kid, my family and I traveled around the country for a year in an RV.",Fall
